sentiment,title,singer,url
기쁨,여행,볼빨간사춘기,https://www.youtube.com/watch?v=xRbPAVnqtcs
기쁨,제주도의 푸른밤,태연,https://www.youtube.com/watch?v=IePq5KpiI5A
기쁨,롤린,브레이브걸스,https://www.youtube.com/watch?v=lOf2RLPdJj8
기쁨,다시 여기 바닷가,싹스리,https://www.youtube.com/watch?v=ESKfHHtiSjs
기쁨,상상더하기,라봄,https://www.youtube.com/watch?v=m0o7fbNKhpM
당황,Like Strangers Do,AJ Mitchell,https://www.youtube.com/watch?v=MDSzV2Ymq2A
당황,12:45,Etham ,https://www.youtube.com/watch?v=GhWnG7YhcEE
당황,Off My Face,Justin Bieber,https://www.youtube.com/watch?v=rikm9eS6JAE
당황,Better Alone,Peder Eilas,https://www.youtube.com/watch?v=c4o3TE-Hr3M
당황,Summer Is for Falling in Love,Sarah Kang,https://www.youtube.com/watch?v=CyyZyzbQ45Y
분노,salt,Ava Max,https://www.youtube.com/watch?v=OzUJP7aJBK8
분노,idgaf,Dua Lipa,https://www.youtube.com/watch?v=Mgfe5tIwOj0&ab_channel=DuaLipa
분노,팩트폭행 ,싸이 (feat. G-Dragon),https://www.youtube.com/watch?v=XbEBEiJP72M
분노,돌덩이 ,하현우 ,https://www.youtube.com/watch?v=4qOT_Aw9IgM&ab_channel=JTBCDrama
분노,대취타,Agust D,https://www.youtube.com/watch?v=qGjAWJ2zWWI
불안,Denim Jacket  ,Maroon 5,https://www.youtube.com/watch?v=qWhRJFg5zaY
불안,나의 옛날이야기,아이유,https://www.youtube.com/watch?v=npttud7NkL0&ab_channel=1theK%28%EC%9B%90%EB%8D%94%EC%BC%80%EC%9D%B4%29
불안,그대라는 시  ,태연,https://www.youtube.com/watch?v=lHEOj3d7YS4&ab_channel=DOM%EB%8D%A4%EC%8A%A4%ED%8A%9C%EB%94%94%EC%98%A4
불안,The Story Never Ends  ,Lauv,https://www.youtube.com/watch?v=DEkd2oMmdtc
불안,화분  ,세정,https://www.youtube.com/watch?v=A9l_49mCepw
상처,너의 하루는 어때?,엔씨아,https://www.youtube.com/watch?v=9Ejpif4IUOU
상처,우연수,아프지말고 아프지 말자,https://www.youtube.com/watch?v=m0mJrX8Br2k
상처,이하이,한숨,https://www.youtube.com/watch?v=5iSlfF8TQ9k
상처,Crush,Alone,https://www.youtube.com/watch?v=5N1KcPfyj74
상처,로시,Stars,https://www.youtube.com/watch?v=Fz8bjQZOrNw
슬픔,#안녕,너의 번호를 누르고,https://www.youtube.com/watch?v=991mbLG3t-Y
슬픔,"전상근, 신예영",안녕 우린 헤어져야만 해,https://www.youtube.com/watch?v=tcWO235XHqo
슬픔,이예준,사랑이 아니였다고 말하지 마요,https://www.youtube.com/watch?v=Ce9VK8nL1go
슬픔,임재현,사랑에 연습이 있었다면 (Prod. 2soo),https://www.youtube.com/watch?v=kXAvbHPdTZ0
슬픔,케이시,가을밤 떠난 너,https://www.youtube.com/watch?v=fwM-OMcE4so
